p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
1,0.660389335,0.10176436,n.s.,A0A452DJM0;Q24JY1;A0A452DJ23;E1BII3;S5G966;E1BED6;A0A5B9NMA4;A0A5B9NIL7;E1B983,A0A452DJM0;Q24JY1;A0A452DJ23;E1BII3;S5G966;E1BED6;A0A5B9NMA4;A0A5B9NIL7;E1B983,RPL23A,7
1,0.680772819,-0.047026441,n.s.,A0A493UA87;P16116;A0A3Q1M9Q1;A0A3Q1MBL5;Q862S5,A0A493UA87;P16116;A0A3Q1M9Q1,AKR1B1,38
1,0.706249836,0.165440855,n.s.,A0A498UZ20;E1BPK6,A0A498UZ20;E1BPK6,MYO6,26
1,0.563483908,-0.329820789,n.s.,A0JBZ9,A0JBZ9,p97bcnt2,10
1,0.90879126,-0.127089409,n.s.,A0JN43,A0JN43,ESYT1,28
0.929920964,0.32041943,-0.269884674,n.s.,A0JNQ6;A0A3Q1NCS1,A0JNQ6;A0A3Q1NCS1,OOEP,15
1,0.991482088,0.01557747,n.s.,A1A4J1,A1A4J1,PFKL,14
0.936288028,0.34649058,0.518682426,n.s.,A1A4M0,A1A4M0,TIMM13,4
1,1,0.064003006,n.s.,A1A4Q4;A0A452DJ25,A1A4Q4;A0A452DJ25,TMA7,4
0.604008974,0.095162418,0.290071732,n.s.,A1L555;P26779;F1MXP8;A0A3Q1MI01;A0A140T8C6,A1L555;P26779;F1MXP8;A0A3Q1MI01;A0A140T8C6,PSAP,25
0.965517001,0.39764758,-0.582116489,n.s.,A1L5B7;Q2KJD1,A1L5B7;Q2KJD1,SERBP1,6
1,0.764052359,-0.369314818,n.s.,A2VDN6,A2VDN6,SF3A1,5
1,0.827789645,0.047167186,n.s.,A2VDN7;Q08DH6,A2VDN7;Q08DH6,HNRNPU,39
0.909629851,0.299955441,0.179753311,n.s.,A2VDZ9;Q861V1;A0A3Q1LIG6,A2VDZ9;Q861V1,VAPB,15
1,1,-0.079552779,n.s.,A2VE47,A2VE47,ADPGK,9
1,1,-0.180379718,n.s.,A2VE99;A0A3Q1MUN6;A0A3Q1LZ10;A0A452DIM2;A0A3Q1LMZ8;Q3SZN0;A0A3Q1N7R1;A0A3Q1MG56;A0A3Q1MIY9;Q0VCP4;A0A3Q1MFV9;A0A3Q1MHE0;A0A3Q1LNH8;A0A3Q1LN12,A2VE99;A0A3Q1MUN6;A0A3Q1LZ10;A0A452DIM2,SEPTIN11,8
0.909629851,0.299247262,0.154715843,n.s.,A3KMV5;A0A3Q1LKR8;O77800;Q9N1X9,A3KMV5;A0A3Q1LKR8,UBA1,40
0.671573284,0.12401876,1.228409427,n.s.,A3KMV6;A0A3Q1NB36;A0A3Q1MI86,A3KMV6;A0A3Q1NB36;A0A3Q1MI86,HNRNPR,10
0.965517001,0.377338431,0.156983895,n.s.,A3KN04;F1MJ36;A6QL95,A3KN04,RPN1,33
0.810930055,0.213835389,-0.932604323,n.s.,A3KN12;F1MHP6;Q6PWM2,A3KN12;F1MHP6,ADSL,12
1,0.8100319,-0.348085736,n.s.,A3KN22;A0A3Q1MF04,A3KN22;A0A3Q1MF04,UBE2M,3
0.996624643,0.458661022,0.357749059,n.s.,A4FUA8;A0A3Q1N894;A0A3Q1LFG8;A0A3Q1M698;A0A3Q1LXG3,A4FUA8;A0A3Q1N894;A0A3Q1LFG8,CAPZA1,11
0.698047476,0.138636607,-0.218529178,n.s.,A4FUD0;A0A3Q1M478,A4FUD0;A0A3Q1M478,MTHFD1,56
0.571101691,0.084239158,0.881821591,n.s.,A4FUI1,A4FUI1,MIX23,6
1,0.486036951,0.47988594,n.s.,A4FUZ1;A0A3Q1LS06,A4FUZ1;A0A3Q1LS06,GLO1,10
0.83470041,0.238397616,0.708612232,n.s.,A4IFC3;A0A3Q1MGV5;G3MYW4;G3MZ94,A4IFC3,PABPC4,14
1,1,-0.216475816,n.s.,A4IFT6,A4IFT6,TMED7,2
1,0.982862393,-0.053284138,n.s.,A5D7D1,A5D7D1,ACTN4,38
0.642724482,0.11495885,-1.063352527,n.s.,A5D7D9,A5D7D9,DHX15,3
0.440070354,0.029843816,-0.508024298,n.s.,A5D7M4;A0A3Q1LU70,A5D7M4;A0A3Q1LU70,YBX2,17
0.805856345,0.20403796,-0.964817226,n.s.,A5D7N2;A0A3Q1MBN5;A6QQ28;A0A3Q1MQN3;G3N080;G3MXG1;G3N0F3;G3N3L9;G3MZR4;G3N1G0;G3N1R5;G3N0L9;F1MUU9;Q9TR74;E1BPK0,A5D7N2;A0A3Q1MBN5;A6QQ28;A0A3Q1MQN3,HIST2H2BE,24
1,0.887551542,-0.240349477,n.s.,A5D977,A5D977,RALB,11
0.566630513,0.082921539,0.958820523,n.s.,A5D9H5;A6H6Y0;A0A3Q1M8I4,A5D9H5;A6H6Y0;A0A3Q1M8I4,HNRNPD,17
1,1,0.068500701,n.s.,A5PJA6;Q32LL2,A5PJA6;Q32LL2,STOML2,10
0.965517001,0.375271633,-0.235505355,n.s.,A5PJE0;F1MX44,A5PJE0;F1MX44,GSTA5,8
0.855076182,0.250377496,0.970106133,n.s.,A5PJP2;A0A3Q1MU58,A5PJP2,SAFB,19
0.965517001,0.403700488,0.248780471,n.s.,A5PJY0;F1ME46;A0A3Q1MSA1,A5PJY0;F1ME46;A0A3Q1MSA1,LMAN1,10
0.996624643,0.459455968,-0.347920046,n.s.,A5PJZ1,A5PJZ1,SLC25A24,15
1,0.469754687,-0.420431899,n.s.,A5PK45;A0A3Q1N2V9,A5PK45;A0A3Q1N2V9,COLGALT1,16
0.525525679,0.064088497,-0.528036613,n.s.,A5PK97;F1N2J5,A5PK97,HAPLN3,12
1,1,0.073147303,n.s.,A5PKI3,A5PKI3,FAM3C,4
0.440070354,0.033496377,-0.374899296,n.s.,A6H768,A6H768,GALK1,22
0.732526433,0.159238408,0.930715318,n.s.,A6H769;A0A3Q1M657,A6H769;A0A3Q1M657,RPS7,11
1,0.624802644,-0.406104503,n.s.,A6H797,A6H797,MLEC,5
1,1,0.141465188,n.s.,A6H7E3;Q5E9E1,A6H7E3;Q5E9E1,PDLIM1,7
1,0.823820374,-0.300087442,n.s.,A6H7G2;A0A452DIT4,A6H7G2;A0A452DIT4,DBNL,14
0.415661573,0.024127609,0.271784351,n.s.,A6H7J6;F6Q9Q9;P05307;A0A3Q1LPQ0;G9BHW9,A6H7J6;F6Q9Q9;P05307;A0A3Q1LPQ0,P4HB,57
0.831502161,0.226267865,0.270197223,n.s.,A6QL77,A6QL77,P4HA1,24
0.929920964,0.319670685,-0.296634021,n.s.,A6QL93;A0A3Q1MJS7,A6QL93,TACC3,31
1,0.90203098,0.194734357,n.s.,A6QLI0,A6QLI0,EPDR1,3
0.833546339,0.233315526,0.083559455,n.s.,A6QLL8;A0A3Q1LMG1;Q3T0S5;A5PK73;A0A3Q1MFK7;G3MXL6,A6QLL8;A0A3Q1LMG1,ALDOA,48
1,0.72303277,-0.310768657,n.s.,A6QLV3,A6QLV3,SHOC2,8
1,0.972570274,0.235966387,n.s.,A6QLX2;F1MM59;Q25BC4,A6QLX2;F1MM59;Q25BC4,FBL,10
1,1,0.056750646,n.s.,A6QNW7;CON__ENSEMBL:ENSBTAP00000031360;A0A3Q1MHR7;A0A3Q1NJL4;B6UM02;B6ULW9;A0A3Q1LVH8;A0A3Q1MP59;B6ULX0;B6UM00;A0A3Q1MZY9;A0A3Q1MBP6;A0A3Q1LH54;A0A3Q1MA56;E9QB09;F1N6N9;E3W9A0,A6QNW7,CD5L,15
0.937017375,0.353676463,0.715995446,n.s.,A6QQL4;G3MZF7,A6QQL4;G3MZF7,UBFD1,11
0.993498979,0.44178128,-0.086250667,n.s.,A6QQR5;A0A3Q1LPS9;A0A3Q1M1M5,A6QQR5;A0A3Q1LPS9;A0A3Q1M1M5,TMEM43,14
1,0.639293607,0.587049914,n.s.,A6QQT4;A0A3Q1M722;A0A3Q1LV44;A0A3Q1LZB8;A0A3Q1LJ52;Q0V8E9;F1N015;Q1JPA0;A0A3Q1LKF2;A0A3Q1M3Q4,A6QQT4;A0A3Q1M722;A0A3Q1LV44;A0A3Q1LZB8;A0A3Q1LJ52,ALDH3A2,8
1,1,0.203339969,n.s.,A6QQX0,A6QQX0,PBK,8
1,0.944430556,-0.189375872,n.s.,A6QR35;A0A3Q1M8R7;A0A3Q1NFI0,A6QR35,SCAMP2,3
0.689114974,0.130459629,0.686739774,n.s.,A6QR46;A0A452DHU1,A6QR46;A0A452DHU1,RAB6B,6
0.918151652,0.307116929,-1.077238927,n.s.,A6QR61;A0A3Q1LVA8;A0A3Q1MDW5,A6QR61;A0A3Q1LVA8;A0A3Q1MDW5,SNX12,4
1,0.552823656,0.199214838,n.s.,A7E307;F6R9E0;A7E396,A7E307;F6R9E0,DDX17,29
1,0.601529328,-0.228418788,n.s.,A7E3Q2;P34933,A7E3Q2;P34933,HSPA2,34
1,1,-0.083012622,n.s.,A7E3T7;A0A3Q1MZ37,A7E3T7;A0A3Q1MZ37,MAT2A,3
1,1,-0.006489266,n.s.,A7E3V1;P31039;G3MY67;A0A3Q1MCH3;Q2HJI1;G5E6M7;Q0QF04;Q2QJG4,A7E3V1;P31039;G3MY67;A0A3Q1MCH3;Q2HJI1;G5E6M7;Q0QF04,SDHA,19
0.468153881,0.051654609,0.676794382,n.s.,A7MAZ5,A7MAZ5,H1-3,33
1,0.893812228,0.189153089,n.s.,A7MB50;Q28205;F6PTQ9;A0A3Q1LIQ9;A0A3Q1M9V2,A7MB50;Q28205;F6PTQ9;A0A3Q1LIQ9;A0A3Q1M9V2,TBCD,9
0.965517001,0.387593903,-0.398243781,n.s.,A7MB62;A0A3Q1LXR9;A0A3Q1M2H2;A0A3Q1M5Y2,A7MB62;A0A3Q1LXR9;A0A3Q1M2H2,ACTR2,11
0.855076182,0.255557444,-0.718412639,n.s.,A7MBD4;A0A3Q1MAU9,A7MBD4;A0A3Q1MAU9,FARSA,3
0.994314212,0.443633668,0.436292513,n.s.,A7MBG0,A7MBG0,ADSS2,9
0.867573976,0.267854494,0.29219113,n.s.,A7MBG8,A7MBG8,RUVBL1,10
1,1,0.024545479,n.s.,A7MBG9;Q1JPH6;A0A3Q1LN44;G3MXI7,A7MBG9;Q1JPH6;A0A3Q1LN44;G3MXI7,WBSCR1,10
0.763804362,0.181858181,0.785739874,n.s.,A7MBI6,A7MBI6,GLOD4,7
1,0.841949575,-0.119122482,n.s.,A7MBJ5;E1BNE2,A7MBJ5,CAND1,32
1,1,0.062471467,n.s.,A7YW98,A7YW98,RARS1,13
0.929920964,0.321796782,0.518986718,n.s.,A7YWC6;A0A3Q1LGJ2;A0A3Q1LUN2;A0A3Q1MMQ9,A7YWC6;A0A3Q1LGJ2;A0A3Q1LUN2;A0A3Q1MMQ9,SUB1,6
0.9045072,0.28998263,0.276434604,n.s.,A7Z014;A5PJ79;A7E3W4;Q6B855;Q6PT94,A7Z014;A5PJ79;A7E3W4;Q6B855,TKT,31
0.732526433,0.167548122,-0.533541375,n.s.,A7Z055,A7Z055,PLAA,24
1,0.973761946,-0.007689561,n.s.,A7Z057;P68252,A7Z057;P68252,YWHAG,21
1,0.667736942,0.085702427,n.s.,A7Z066;A0A3Q1LFC5;Q8HYW3,A7Z066;A0A3Q1LFC5,CANX,31
0.204289775,0.005219948,2.54460519,n.s.,B0JYK4;P31322;F6Q9S4,B0JYK4;P31322;F6Q9S4,PRKAR2B,14
1,0.970509079,0.024417228,n.s.,B0JYM7;Q3SZA5;F1ME02,B0JYM7;Q3SZA5;F1ME02,SMS,15
0.308984456,0.010766009,0.382180281,n.s.,B0JYQ0,B0JYQ0,ALB,154
0.525525679,0.064052899,0.771007593,n.s.,B3IVN4,B3IVN4,PKM,12
1,0.818091819,-0.107796964,n.s.,B6VAP7;Q2KJ93;F1MND1,B6VAP7;Q2KJ93,CDC42,7
0.993498979,0.430339597,-0.529124518,n.s.,C1JZ66,C1JZ66,KPNA7,6
0.702046575,0.144489803,-0.920854162,n.s.,D3JUI8,D3JUI8,RBMX,20
1,0.476460809,-0.252888799,n.s.,E1B7K5,E1B7K5,CKAP5,17
0.855076182,0.257117429,-1.109184477,n.s.,E1B7R4;A7E394,E1B7R4;A7E394,EIF3A,11
0.466398118,0.050439496,1.614752104,n.s.,E1B7W1;A0A3Q1NI32,E1B7W1;A0A3Q1NI32,THRAP3,13
1,0.677353226,0.283478938,n.s.,E1B844,E1B844,TIMM44,9
0.810930055,0.213557864,0.87842367,n.s.,E1B8G9,E1B8G9,H2BU1,17
0.604008974,0.096809801,0.405624138,n.s.,E1B8N6;A7YY47;A0A3Q1LNG7,E1B8N6;A7YY47;A0A3Q1LNG7,LMNB1,36
1,0.541454585,0.415942751,n.s.,E1B9H3;Q0V8K2,E1B9H3,CCAR2,11
0.965517001,0.400355996,-0.438447497,n.s.,E1B9R5;G3N309;A0A3Q1LZL0,E1B9R5;G3N309;A0A3Q1LZL0,DNAH8,2
1,1,-0.094069129,n.s.,E1BB17;A0A3Q1MF67;G3MYE8,E1BB17;A0A3Q1MF67,HNRNPH3,10
0.993498979,0.431790634,-0.257580588,n.s.,E1BBC4;A0A3Q1LJL3;A0A3Q1MGQ5,E1BBC4;A0A3Q1LJL3;A0A3Q1MGQ5,OPA1,62
1,0.935122798,-0.136202673,n.s.,E1BBY7,E1BBY7,HSPA4,28
0.993498979,0.435114233,-0.220205004,n.s.,E1BC90,E1BC90,CCNI2,20
1,0.520351117,-0.422010827,n.s.,E1BDM8;A0A3Q1LHB1,E1BDM8;A0A3Q1LHB1,DDX6,15
1,0.818692907,0.046241353,n.s.,E1BDX8;A0A3Q1NEU9,E1BDX8;A0A3Q1NEU9,DYNC1H1,76
1,0.578614214,0.597834148,n.s.,E1BDY3;A0A3Q1LL67;G3N2K4;A0A3Q1LJT3,E1BDY3;A0A3Q1LL67;G3N2K4;A0A3Q1LJT3,GLG1,26
0.566630513,0.082533486,0.47940689,n.s.,E1BDZ4;A0A3Q1LRH3,E1BDZ4;A0A3Q1LRH3,NLRP14,24
0.732526433,0.159130661,0.262696082,n.s.,E1BEG2;A0A3Q1LPR0;A0A3Q1MD54;A0A3Q1NDU9;G3N220;A0A3Q1MEY9,E1BEG2;A0A3Q1LPR0,HNRNPA3,25
1,0.868885572,-0.168979387,n.s.,E1BEI2,E1BEI2,SPCS2,4
1,0.610299656,-0.262040367,n.s.,E1BEY9,E1BEY9,LSM14B,9
1,0.561864596,0.190414577,n.s.,E1BF20;A0A3Q1MIM4;A0A3Q1LU71;A0A3Q1MIG4;A0A3Q1N348;A5D9B4;Q3SZF3,E1BF20;A0A3Q1MIM4;A0A3Q1LU71;A0A3Q1MIG4;A0A3Q1N348,HNRNPH1,17
1,1,0.035853216,n.s.,E1BF55,E1BF55,MAP7D2,6
0.867573976,0.267657474,0.236000585,n.s.,E1BFV0,E1BFV0,KPNB1,16
1,1,-0.203974617,n.s.,E1BG76,E1BG76,SCFD1,10
1,0.687627434,0.213551672,n.s.,E1BG99,E1BG99,EIF4ENIF1,15
0.955674113,0.36295637,0.53424439,n.s.,E1BGD1,E1BGD1,TOMM34,6
0.965517001,0.38397616,-0.746650103,n.s.,E1BGH0;A0A3Q1NB13,E1BGH0;A0A3Q1NB13,ABCF1,2
1,0.769698003,-0.1179108,n.s.,E1BH22;A1A4R1;F1MRN2;A0A096LNF2,E1BH22;A1A4R1;F1MRN2;A0A096LNF2,H2AC18,19
1,1,-0.144110724,n.s.,E1BI46,E1BI46,LIPT2,5
0.535657104,0.074516926,0.495451794,n.s.,E1BIB4;Q08E28;F1N7G0,E1BIB4,HNRNPL,20
1,0.919202978,-0.144264161,n.s.,E1BJA2,E1BJA2,AIFM1,16
0.449901431,0.042847755,-0.609171722,n.s.,E1BJB1;G3X7R7,E1BJB1;G3X7R7,TUBB2A,30
0.998462589,0.461542521,0.519780143,n.s.,E1BJG5,E1BJG5,TRIM28,12
0.964256119,0.370695442,-0.39557608,n.s.,E1BKM4,E1BKM4,PDCD6IP,19
0.604008974,0.094259057,1.281586819,n.s.,E1BKT9;A0A3Q1MR22,E1BKT9;A0A3Q1MR22,DSP,54
1,0.920449848,-0.066804334,n.s.,E1BKZ1;A0A4Y5RZ06,E1BKZ1,GSR,22
1,0.676533235,-0.46065054,n.s.,E1BL29;A0A3Q1MCD6,E1BL29,BLMH,6
1,0.993542156,-0.106222711,n.s.,E1BL33,E1BL33,NLRP8,48
0.810930055,0.214331215,-0.54893489,n.s.,E1BLV6,E1BLV6,VARS1,14
1,0.832207549,-0.196543043,n.s.,E1BME6;A0A3Q1LZ02;F1MIM3,E1BME6;A0A3Q1LZ02,HK2,32
0.716645948,0.152318477,0.62952761,n.s.,E1BNB4,E1BNB4,PABPC1L,9
1,1,0.23813921,n.s.,E1BNQ9,E1BNQ9,HNRNPUL2,12
1,0.531554684,-0.570320954,n.s.,E1BP91,E1BP91,NPEPPS,12
0.449901431,0.03959192,-1.288487649,n.s.,E1BPE9;A0A3Q1MIJ4;A0A3Q1LRV9,E1BPE9;A0A3Q1MIJ4,KHDC3L,9
0.732526433,0.162880968,0.310654004,n.s.,E1BQ37;A0A3Q1LXA1,E1BQ37;A0A3Q1LXA1,SFPQ,30
0.296825901,0.009375015,0.46872102,n.s.,E3SAZ8;D3U796;F1MTV9;Q3T160;E1BCL3;E2CT01;A0A3Q1LXL7;A0A3Q1LR94,E3SAZ8;D3U796;F1MTV9;Q3T160;E1BCL3,NPM1,25
0.535657104,0.073233774,-0.579821403,n.s.,F1MB84;A0A3Q1NGN7,F1MB84;A0A3Q1NGN7,GRHPR,9
1,0.515470437,0.085982579,n.s.,F1MBA3;P53710;A0A3Q1NKA4,F1MBA3;P53710;A0A3Q1NKA4,ITGA2,21
0.924942268,0.311536885,0.637461442,n.s.,F1MBE7,F1MBE7,ACCSL,15
0.855076182,0.255038716,-0.66620305,n.s.,F1MBS4,F1MBS4,SLC25A10,5
1,0.541234588,0.591615029,n.s.,F1MBW3;A0A3Q1LZ55;A7E3D9,F1MBW3;A0A3Q1LZ55;A7E3D9,ACSL4,20
1,1,-0.087806901,n.s.,F1MC86;A0A3Q1LR60;Q2T9U0;A0A3Q1LUN6,F1MC86;A0A3Q1LR60;Q2T9U0;A0A3Q1LUN6,GMPS,10
1,0.485415146,-0.870784892,n.s.,F1MDA6;A4FUX9,F1MDA6;A4FUX9,VPS45,2
1,0.506334937,0.445322077,n.s.,F1MDH3;A0A3Q1MLQ7;A0A3Q1N5M2;A0A3Q1M5E5;A0A3Q1MU54;F1MQI1,F1MDH3;A0A3Q1MLQ7,TLN1,14
0.504404732,0.058583593,0.206986371,n.s.,F1ME65,F1ME65,CKAP4,53
0.965517001,0.3947812,0.489110464,n.s.,F1MER7,F1MER7,HSPG2,25
0.584017083,0.087726603,-0.342093079,n.s.,F1MF35;E1BEV7;F1N0X6,F1MF35,TLL2,33
0.470316547,0.052439476,1.537094794,n.s.,F1MF76,F1MF76,LOC515570,6
0.855076182,0.253260923,0.240381127,n.s.,F1MFX7;A6QNQ3;A0A3Q1MD91,F1MFX7;A6QNQ3;A0A3Q1MD91,UHRF2,31
0.603921928,0.092587334,1.064865027,n.s.,F1MHR6;A0A3Q1NE05;A0A3Q1MB99;A0A3Q1N6L6,F1MHR6;A0A3Q1NE05;A0A3Q1MB99;A0A3Q1N6L6,KHSRP,22
1,0.87068948,0.115357341,n.s.,F1MJI7,F1MJI7,LMNB2,32
1,0.814575266,-0.183153416,n.s.,F1MJQ1;A0A3Q1M3K7;A0A3Q1M3F1;A0A3Q1LUM6;Q3T0F5,F1MJQ1;A0A3Q1M3K7;A0A3Q1M3F1;A0A3Q1LUM6;Q3T0F5,RAB7A,7
1,0.717772822,-0.461978566,n.s.,F1MKJ7;F1MH37,F1MKJ7;F1MH37,GDF3,5
0.993498979,0.429455562,0.306383656,n.s.,F1MLG1,F1MLG1,SRPRB,3
0.732526433,0.1699583,0.971015215,n.s.,F1MLQ1,F1MLQ1,LOC524236,13
0.738653509,0.172438276,0.562344207,n.s.,F1MM83;Q2TBQ8,F1MM83;Q2TBQ8,PGLS,8
1,0.831243585,-0.103187806,n.s.,F1MMA0;A0A3Q1LQQ5;Q0V8D5,F1MMA0;A0A3Q1LQQ5;Q0V8D5,ILF3,19
1,0.674051705,-0.440155191,n.s.,F1MMQ6;A0A3Q1MKF2,F1MMQ6;A0A3Q1MKF2,MYO5B,9
1,0.690640049,-0.200748339,n.s.,F1MMU4,F1MMU4,H1-10,9
0.455454771,0.046379536,-1.224393948,n.s.,F1MNF8,F1MNF8,LOC100141266,32
1,0.508996529,0.139183213,n.s.,F1MNI4,F1MNI4,RAB5B,7
1,0.728772712,-0.536327351,n.s.,F1MNS8,F1MNS8,PDAP1,9
0.929920964,0.324014273,-0.367694538,n.s.,F1MP41,F1MP41,ASTL,29
1,0.473386354,-0.323783396,n.s.,F1MPB2;E1BKJ7;A0A3Q1LYK1;A0A3Q1MM04;E1BFI4,F1MPB2,IGF2BP3,27
1,0.688273117,0.32171358,n.s.,F1MPP1;Q17R06,F1MPP1;Q17R06,RAB21,4
0.995716468,0.446395536,-0.604173757,n.s.,F1MQ21;Q1MW22,F1MQ21,NES,13
1,0.812195254,-3.40E-04,n.s.,F1MQ37;O02717,F1MQ37;O02717,MYH9,43
0.936288028,0.341383428,-0.735739776,n.s.,F1MQU4;A0A3Q1MP92;A0A3Q1LRT1;A0A3Q1LVH1;A5D7B8,F1MQU4;A0A3Q1MP92;A0A3Q1LRT1;A0A3Q1LVH1;A5D7B8,BCLAF1,13
1,0.48603514,0.53341874,n.s.,F1MS94;A5D7D3;A0A3Q1ML77,F1MS94;A5D7D3;A0A3Q1ML77,CSDE1,6
1,1,0.021828843,n.s.,F1MSG8;A0A3Q1M0T0;A0A3Q1M8J2;A0A3Q1MCR3;A0A3Q1M2K6,F1MSG8;A0A3Q1M0T0;A0A3Q1M8J2;A0A3Q1MCR3;A0A3Q1M2K6,RHOBTB3,2
1,1,0.157515597,n.s.,F1MSL9,F1MSL9,UGGT2,5
1,1,0.054714878,n.s.,F1MSQ9;A5D7N8;A0A3Q1MVE5;A0A3Q1LPP7;A0A3Q1MKK7;F1MCA8;P01251;P01250,F1MSQ9;A5D7N8;A0A3Q1MVE5;A0A3Q1LPP7;A0A3Q1MKK7;F1MCA8,TMPO,10
0.965517001,0.402769708,-0.265495485,n.s.,F1MT41,F1MT41,PTGFRN,23
0.849832942,0.246757532,0.712569208,n.s.,F1MTN1;J9ZW47;Q8MKD3,F1MTN1;J9ZW47,ITGB3,5
1,1,-0.187881313,n.s.,F1MTY9;Q3T0J4;G3N371,F1MTY9;Q3T0J4;G3N371,HMOX2,7
0.732526433,0.16390479,0.502180111,n.s.,F1MU08;A0A3Q1MVZ1;P18493;Q2KIU9,F1MU08;A0A3Q1MVZ1;P18493,PARP1,16
1,0.805040629,-0.057173345,n.s.,F1MU12;P05786;CON__Q9H552,F1MU12;P05786,KRT8,37
0.925764811,0.313695549,0.291626179,n.s.,F1MU79;Q9TRY0,F1MU79;Q9TRY0,FKBP4,23
1,0.979839881,0.031574803,n.s.,F1MUI1;A5PJM9,F1MUI1;A5PJM9,TDRKH,27
1,1,0.051718484,n.s.,F1MUP9,F1MUP9,VAT1,6
0.867573976,0.27105389,0.119090677,n.s.,F1MUZ9;P31081;Q3T179;Q7YSF0,F1MUZ9;P31081;Q3T179,HSPD1,80
0.440070354,0.033355668,-1.526247408,n.s.,F1MW03,F1MW03,TSTD1,4
0.914577665,0.304859222,-0.27278791,n.s.,F1MWD3;Q3T115;A0A3Q1M719,F1MWD3;Q3T115,CCT5,30
1,0.520314797,-0.330759897,n.s.,F1MWG1,F1MWG1,OGDHL,5
0.933345912,0.329756702,-0.683975996,n.s.,F1MWN1;A5D785,F1MWN1;A5D785,CSE1L,12
0.689114974,0.128982938,0.255127877,n.s.,F1MWR3;Q2KJE4,F1MWR3;Q2KJE4,ETFA,25
1,0.515154848,0.495945308,n.s.,F1MWY9;A0A3Q1LP28;Q3ZC57,F1MWY9;A0A3Q1LP28;Q3ZC57,ECI2,8
1,0.747571404,-0.283568015,n.s.,F1MX69;Q3T014;E1B959,F1MX69;Q3T014;E1B959,BPGM,20
1,0.908938815,-0.043382693,n.s.,F1MXI4;A4IF82,F1MXI4;A4IF82,MATR3,24
1,0.710801741,-0.09108584,n.s.,F1MXX0;A0A3Q1MFE4;A7E3V3;A0A3Q1LYI6;Q2NL19,F1MXX0;A0A3Q1MFE4;A7E3V3;A0A3Q1LYI6;Q2NL19,IMMT,37
0.415661573,0.024138303,0.200475852,n.s.,F1MY44;A0A3Q1MJD5;A0A3Q1MIF1;A0A3Q1M8F3,F1MY44;A0A3Q1MJD5;A0A3Q1MIF1,HNRNPM,59
1,0.698989357,-0.196514003,n.s.,F1MYG0;Q3ZCF5;A0A6M4P9W5,F1MYG0;Q3ZCF5,OAT,33
0.59888195,0.091119089,0.958191053,n.s.,F1MYG5;Q3SZI2;Q862T1,F1MYG5;Q3SZI2,LMNA,27
0.642535928,0.113298867,0.921215423,n.s.,F1MZ00;A0A3Q1M6V4;A0A3Q1MM18;Q2KIS8,F1MZ00;A0A3Q1M6V4;A0A3Q1MM18;Q2KIS8,SNRPD3,6
0.565408878,0.081429386,0.415148938,n.s.,F1MZ85;P81282;A0A3Q1M9P9;F1N6I5;F1MZ83,F1MZ85;P81282;A0A3Q1M9P9;F1N6I5;F1MZ83,VCAN,36
1,0.789212108,-0.459080642,n.s.,F1MZD1,F1MZD1,WEE2,8
0.701358727,0.141738001,0.223212506,n.s.,F1N0E5;Q2T9X2,F1N0E5;Q2T9X2,CCT4,24
1,0.925653777,-0.13913184,n.s.,F1N0J2;F1MAZ3;F1MAZ1;A0A3Q1MYL9;A0A3Q1M9W4;A0A3Q1LJL4;G3N2G7;P36225;A0A3Q1LSK2;A0A3Q1MP69;G3MY44;Q8MJX0;Q8MJX1;Q864S2,F1N0J2;F1MAZ3;F1MAZ1;A0A3Q1MYL9;A0A3Q1M9W4;A0A3Q1LJL4;G3N2G7;P36225;A0A3Q1LSK2;A0A3Q1MP69;G3MY44,MAP4,19
1,0.988170118,-0.271255861,n.s.,F1N0W1;A0A3Q1LUD9,F1N0W1;A0A3Q1LUD9,DIAPH1,2
1,0.567418954,0.328553043,n.s.,F1N152;A0A452DI93,F1N152;A0A452DI93,HTRA1,6
0.965517001,0.402894172,-0.291723461,n.s.,F1N169;A0A3Q1M057;A0A3Q1LMA3;Q95LH5;Q8WMQ6;Q9TSA8;A0A3Q1LU35;E1BE25;A0A3Q1M304;A0A3Q1LV98,F1N169;A0A3Q1M057;A0A3Q1LMA3,FLNA,33
1,0.961590153,0.016563867,n.s.,F1N1A9;P80746;A0A3Q1MXS2;J9ZXG5;A7YY42;Q8MKD4,F1N1A9;P80746;A0A3Q1MXS2;J9ZXG5;A7YY42,ITGAV,8
1,1,0.081767944,n.s.,F1N1W3;Q95116;Q28195,F1N1W3;Q95116,THBS2,9
0.965517001,0.386187971,-0.643451604,n.s.,F1N206,F1N206,DLD,20
1,0.581574184,-0.553413025,n.s.,F1N2H1;Q3HNG7;A0A3Q1M3J7,F1N2H1;Q3HNG7;A0A3Q1M3J7,H1-8,2
0.449901431,0.042839572,1.533218223,n.s.,F1N2I5;Q3T141;A0A3Q1LGS8,F1N2I5;Q3T141,CMBL,7
1,0.906930931,0.143708176,n.s.,F1N301;A0A3Q1LR67,F1N301;A0A3Q1LR67,RPL22,2
0.535657104,0.073484121,-0.861898207,n.s.,F1N338;Q2KJC5;A0A3Q1LS03,F1N338;Q2KJC5;A0A3Q1LS03,HADH,12
0.844846852,0.242837572,1.007657368,n.s.,F1N3L7,F1N3L7,DOCK7,2
