p.adj,p.val,log2FC,significant,Protein Ids,Majority Protein Ids,gene names,Peptides
0.929629536,0.502477064,-0.220459451,n.s.,A0A3Q1LMV5;P28801;A0A452DHY4,A0A3Q1LMV5;P28801,GSTP1,8
0.853400195,0.400543263,0.449950568,n.s.,A0A3Q1LMX0;P07514;F1N7T1;A0A3Q1N6T1;A0A3Q1LZ18,A0A3Q1LMX0;P07514;F1N7T1;A0A3Q1N6T1;A0A3Q1LZ18,CYB5R3,6
1,1,0.027940267,n.s.,A0A3Q1LND7;Q29RK4;A0A3Q1M2P9;A3KMV2,A0A3Q1LND7;Q29RK4,RAD23B,5
0.854479245,0.402333277,0.407806909,n.s.,A0A3Q1LQ76;P48818,A0A3Q1LQ76;P48818,ACADVL,13
0.994134331,0.72324834,-0.15583789,n.s.,A0A3Q1LQI0;P53620;A0A140T886;Q0V888,A0A3Q1LQI0;P53620;A0A140T886,COPG1,11
0.427549656,0.063179555,0.940811407,n.s.,A0A3Q1LQL8;F1MWK6;A0A3Q1MAS0;P27424;A0A3Q1LL69,A0A3Q1LQL8;F1MWK6;A0A3Q1MAS0;P27424;A0A3Q1LL69,MFAP2,8
1,1,-0.280719376,n.s.,A0A3Q1LRY6;E1B8K6;G3MYJ0;G3X7M4;Q5JB60;A0A3Q1NB16;A7E386,A0A3Q1LRY6;E1B8K6;G3MYJ0;G3X7M4,NCL,26
0.9457156,0.547061251,0.496176427,n.s.,A0A3Q1LSB6;A0A3Q1MQZ2;Q32PF2,A0A3Q1LSB6;A0A3Q1MQZ2;Q32PF2,ACLY,13
0.913204911,0.481575441,0.415440773,n.s.,A0A3Q1LSL4;A5D9E1;Q3ZCA8;F1MBV6;A0A3Q1N4K8;E1BE76,A0A3Q1LSL4;A5D9E1;Q3ZCA8;F1MBV6;A0A3Q1N4K8;E1BE76,TPD52,4
1,1,-0.034178025,n.s.,A0A3Q1LSY8;E1BBB5;G3N2I7,A0A3Q1LSY8;E1BBB5;G3N2I7,SETD5,2
0.989702733,0.687293127,0.334013996,n.s.,A0A3Q1LTC7;F1MXQ7;A0A3Q1LTS1,A0A3Q1LTC7;F1MXQ7;A0A3Q1LTS1,FMR1,5
1,0.93132901,0.077872663,n.s.,A0A3Q1LTZ5;P11179;A0A3Q1MHE5;F1MEQ3,A0A3Q1LTZ5;P11179;A0A3Q1MHE5;F1MEQ3,DLST,21
0.479510156,0.110738893,1.17711833,n.s.,A0A3Q1LU94;Q2T9N1;F1N189;A0A3Q1N814,A0A3Q1LU94;Q2T9N1;F1N189;A0A3Q1N814,FAM114A2,5
0.52862635,0.129799581,0.341524937,n.s.,A0A3Q1LUG9;F1MKS3,A0A3Q1LUG9,TXNDC5,26
1,1,0.103845578,n.s.,A0A3Q1LV36;F1MPE5;Q3B7N3,A0A3Q1LV36;F1MPE5,IPO5,9
1,0.817394974,0.311271514,n.s.,A0A3Q1LV65;Q24JZ4;A0A3Q1MQI0,A0A3Q1LV65;Q24JZ4;A0A3Q1MQI0,MTDH,8
0.375751242,0.040439596,1.138643506,n.s.,A0A3Q1LV94;A0A3Q1MU95;A0A3Q1MBW7;A6QLD6,A0A3Q1LV94;A0A3Q1MU95;A0A3Q1MBW7;A6QLD6,MYO1B,5
0.776579328,0.326476735,-0.877031406,n.s.,A0A3Q1LVB4;E1BM06;A0A3Q1M337,A0A3Q1LVB4;E1BM06;A0A3Q1M337,NDC1,3
0.959396505,0.603913961,0.359778342,n.s.,A0A3Q1LVT9;Q2KJ86,A0A3Q1LVT9;Q2KJ86,PUDP,3
0.43965743,0.083791214,0.686188013,n.s.,A0A3Q1LWD5;Q05B85;G3N151;A0A3Q1N1K0,A0A3Q1LWD5;Q05B85;G3N151;A0A3Q1N1K0,JPT2,8
0.948698527,0.587129516,-0.435465115,n.s.,A0A3Q1LWF3;A0A3Q1M9U0;A0A3Q1N8S4;F1MPR3;Q5MA64;Q0VCY0;A0A3Q1MU86;A0A3Q1N127;A0A3Q1MTP9;E1BMQ6,A0A3Q1LWF3;A0A3Q1M9U0;A0A3Q1N8S4;F1MPR3,ATP2A2,26
0.625488619,0.190348094,0.536771863,n.s.,A0A3Q1LWN4;E1BME9;A0A3Q1N7L1,A0A3Q1LWN4;E1BME9;A0A3Q1N7L1,NDUFV3,7
0.419176767,0.057619424,1.139600075,n.s.,A0A3Q1LWN6;A0A3Q1MG42;F1MYM9;A6QLN6,A0A3Q1LWN6;A0A3Q1MG42;F1MYM9;A6QLN6,MYH11,5
0.907710658,0.455455445,0.569345721,n.s.,A0A3Q1LXV4;F1N151;A5PKE2;A0A3Q1MIT7,A0A3Q1LXV4;F1N151;A5PKE2;A0A3Q1MIT7,DNAJC10,4
0.445072791,0.086819132,1.326227664,n.s.,A0A3Q1LY89;A0A3Q1MG00,A0A3Q1LY89;A0A3Q1MG00,MYEF2,13
1,1,0.248269111,n.s.,A0A3Q1LZ47;Q2HJ65,A0A3Q1LZ47;Q2HJ65,MACROH2A1,10
0.981767397,0.672488654,0.015191137,n.s.,A0A3Q1LZU8;A6QNJ8;A0A3Q1N1T6;F1N6Y1,A0A3Q1LZU8;A6QNJ8;A0A3Q1N1T6;F1N6Y1,GANAB,33
1,1,0.116772157,n.s.,A0A3Q1M037;A0A3Q1N9S1;F1MZT7;A0A3Q1N191,A0A3Q1M037;A0A3Q1N9S1;F1MZT7;A0A3Q1N191,GCN1,2
0.456711189,0.099499005,1.142829548,n.s.,A0A3Q1M0D6;F1MI03;A0A3Q1MP73,A0A3Q1M0D6;F1MI03,SRRM2,6
0.699037835,0.246857531,0.913814974,n.s.,A0A3Q1M0T4;Q3SYT9;A0A3Q1MDS1;A0A3Q1LPY4;A0A3Q1LX34;A0A3Q1MU31;A0A3Q1MTU9;Q17QV0;A0A3Q1N8C6,A0A3Q1M0T4;Q3SYT9;A0A3Q1MDS1;A0A3Q1LPY4;A0A3Q1LX34;A0A3Q1MU31;A0A3Q1MTU9;Q17QV0,PCBP2,12
0.625488619,0.184949935,0.356243237,n.s.,A0A3Q1M0V8;A0A140T8A4;Q1JPJ8,A0A3Q1M0V8;A0A140T8A4;Q1JPJ8,THOP1,25
1,0.837714856,0.067558396,n.s.,A0A3Q1M119;P62261;A0A3Q1MP67,A0A3Q1M119;P62261;A0A3Q1MP67,YWHAE,18
1,0.738175771,-0.191973541,n.s.,A0A3Q1M1U2;A5D973;A0A3Q1LW84;Q32PI5;Q7M2R6,A0A3Q1M1U2;A5D973;A0A3Q1LW84;Q32PI5,PPP2R1A,19
0.914525592,0.486555134,0.588675386,n.s.,A0A3Q1M1W9;Q3T030,A0A3Q1M1W9;Q3T030,PSMC4,12
0.129076356,0.004919951,2.050881889,n.s.,A0A3Q1M278;P62194;A0A3Q1LPN6;A0A3Q1LMS2;F1MFP1;A0A3Q1LSW3;A0A3Q1MIV9,A0A3Q1M278;P62194;A0A3Q1LPN6,PSMC5,7
0.97488318,0.646733153,0.011312132,n.s.,A0A3Q1M3Q7;F1MEN8;Q29RV1,A0A3Q1M3Q7;F1MEN8;Q29RV1,PDIA4,52
1,0.938156694,0.104737746,n.s.,A0A3Q1M3Z5;F1MMR6;Q9BGU5;P80209;A1YZD1,A0A3Q1M3Z5;F1MMR6;Q9BGU5;P80209,CTSD,11
0.907710658,0.469475305,0.428044784,n.s.,A0A3Q1M4I4;Q8SQ21;A0A3Q1MXK6,A0A3Q1M4I4;Q8SQ21;A0A3Q1MXK6,HINT2,3
0.9457156,0.547539565,0.275573927,n.s.,A0A3Q1M4M4;P13619;A0A3Q1MP66,A0A3Q1M4M4;P13619,ATP5PB,8
1,0.981171164,0.020290951,n.s.,A0A3Q1M5Q6;A0A3Q1MCW2;A5PJT7;A0A3S5ZPB5,A0A3Q1M5Q6;A0A3Q1MCW2;A5PJT7;A0A3S5ZPB5,ECM1,17
0.705560767,0.25034416,0.375021841,n.s.,A0A3Q1M651;A0A3Q1M425;A0A3Q1MS63;A0A3Q1MTL2;A0A3Q1LU06,A0A3Q1M651;A0A3Q1M425;A0A3Q1MS63;A0A3Q1MTL2;A0A3Q1LU06,EMID1,14
0.662594929,0.210098461,0.586430341,n.s.,A0A3Q1M6S0;Q08DJ3;A0A3Q1LM31;A0A3Q1MKT5,A0A3Q1M6S0;Q08DJ3;A0A3Q1LM31;A0A3Q1MKT5,FUBP1,18
0.802567854,0.357076429,0.652059457,n.s.,A0A3Q1M720;A2VDM7,A0A3Q1M720;A2VDM7,SF1,7
0.780049824,0.331116689,0.596761232,n.s.,A0A3Q1M7L5;A0A3Q1M008;A0A3Q1M0Q8;A0A3Q1MKH6;E1BBT9;A0A3Q1LV64,A0A3Q1M7L5;A0A3Q1M008;A0A3Q1M0Q8;A0A3Q1MKH6;E1BBT9;A0A3Q1LV64,HSPA4L,18
0.675600666,0.221117789,0.923354614,n.s.,A0A3Q1M816;A4FV61,A0A3Q1M816;A4FV61,ZNF512,4
0.625488619,0.190918091,1.107742496,n.s.,A0A3Q1M895;A1A4K8;Q3T127,A0A3Q1M895;A1A4K8,U2AF1,3
0.784337035,0.334134611,0.456340692,n.s.,A0A3Q1M8B0;F1MLV1;A0A3Q1LQF0;Q2KIW6;Q9TR09,A0A3Q1M8B0;F1MLV1;A0A3Q1LQF0;Q2KIW6,PSMC6,6
1,1,0.136212283,n.s.,A0A3Q1M8C7;F1MJM5;A0A3Q1N2U0;A0A3Q1MJV8;F1N444;A0A3Q1LF45;A7YY58;E1BL59;A0A3Q1MCM4;A0A3Q1LJU9,A0A3Q1M8C7;F1MJM5;A0A3Q1N2U0;A0A3Q1MJV8;F1N444;A0A3Q1LF45;A7YY58,LTBP1,15
0.889941517,0.439594372,-0.231853123,n.s.,A0A3Q1M930;A0A3Q1MBP1;A0A3Q1MJM1;E1B748,A0A3Q1M930;A0A3Q1MBP1;A0A3Q1MJM1;E1B748,HYOU1,43
0.675600666,0.220717793,0.887755063,n.s.,A0A3Q1M9D9;E1B7U1,A0A3Q1M9D9;E1B7U1,MOGS,7
1,0.797891196,-0.092360954,n.s.,A0A3Q1MAM5;F1MIL2,A0A3Q1MAM5;F1MIL2,TLE6,29
0.798309376,0.346351714,0.375814685,n.s.,A0A3Q1MAQ1;G3MWR4;Q3ZCH8;F6QVN4,A0A3Q1MAQ1;G3MWR4,ATP1B1,9
0.875414066,0.423175768,-0.715787701,n.s.,A0A3Q1MBY2;Q148H0;A0A3Q1LM66,A0A3Q1MBY2;Q148H0;A0A3Q1LM66,APOO,3
0.768554902,0.318356816,0.519044808,n.s.,A0A3Q1MBY6;A0A3Q1NAY9;A0A3Q1MDG7;A0A3Q1LRZ2;Q2HJ73;F1MPK4;A0A3Q1LUU2,A0A3Q1MBY6;A0A3Q1NAY9;A0A3Q1MDG7;A0A3Q1LRZ2;Q2HJ73;F1MPK4;A0A3Q1LUU2,HIBCH,2
0.485839026,0.11383448,0.337690514,n.s.,A0A3Q1MCJ7;Q862B7;Q3T076;A0A3Q1MWP9;F1MR01;A0A3Q1LNR2,A0A3Q1MCJ7;Q862B7;Q3T076;A0A3Q1MWP9,RPS14,12
0.380051708,0.042719573,0.982760798,n.s.,A0A3Q1MDH1;Q95ML6;F1N7J2;A0A3Q1ND98;A0A3Q1MU03;A0JN32;A0A3Q1M696;F1MQ01;A0A3Q1MIH7;A0A3Q1LUI4;F1MN60;A0A3Q1LKB5;D3K0R6;A0A3Q1MR17;F1MS16;Q28164,A0A3Q1MDH1;Q95ML6;F1N7J2;A0A3Q1ND98;A0A3Q1MU03;A0JN32,ATP2B1,9
0.380051708,0.044024373,0.816589493,n.s.,A0A3Q1MDH5;Q3T0R7;A0A3Q1NEN2,A0A3Q1MDH5;Q3T0R7,ACAA2,20
0.459398046,0.101458985,-1.035603362,n.s.,A0A3Q1MDI3;Q2KI42,A0A3Q1MDI3;Q2KI42,PSMD11,8
1,0.758284622,-0.438146701,n.s.,A0A3Q1MDT7;A0A3Q1M1Z1,A0A3Q1MDT7;A0A3Q1M1Z1,-,14
0.59781301,0.167785636,0.309319298,n.s.,A0A3Q1ME14;Q2TA40;A0A3Q1M1N7;F1N7X3,A0A3Q1ME14;Q2TA40;A0A3Q1M1N7;F1N7X3,NAP1L4,8
0.763169776,0.306294596,0.604918281,n.s.,A0A3Q1MEA6;A5PJR9,A0A3Q1MEA6;A5PJR9,GNL1,4
0.929629536,0.504474955,-0.601351768,n.s.,A0A3Q1MEH0;Q56K11,A0A3Q1MEH0;Q56K11,SRGN,4
1,0.743248673,-0.187373223,n.s.,A0A3Q1MF55;Q8SQH5;A0A3Q1MWD4;A1XEB0,A0A3Q1MF55;Q8SQH5;A0A3Q1MWD4,SLC25A5,18
0.773448011,0.324096759,-0.856603228,n.s.,A0A3Q1MFJ3;Q2KJ32;A0A3Q1N308,A0A3Q1MFJ3;Q2KJ32;A0A3Q1N308,SELENBP1,7
0.562765281,0.152678473,1.090766831,n.s.,A0A3Q1MFP2;A4FUE5,A0A3Q1MFP2;A4FUE5,RAB3GAP1,6
0.705560767,0.250743008,0.525580334,n.s.,A0A3Q1MG76;A0A3Q1LS34;A7MB83,A0A3Q1MG76;A0A3Q1LS34;A7MB83,PLOD2,14
0.171042487,0.008628825,-1.035895602,n.s.,A0A3Q1MHX8;A0A3Q1MJU0;Q148J4;A0A3Q1M7J6;E1BC58,A0A3Q1MHX8;A0A3Q1MJU0;Q148J4;A0A3Q1M7J6;E1BC58,RAB2A,4
0.41444412,0.056219438,1.433899476,n.s.,A0A3Q1MI08;A0A452DJH4;A7MB35;Q2T9Y3;Q9N1X8,A0A3Q1MI08;A0A452DJH4;A7MB35;Q2T9Y3,PDHA1,4
0.989702733,0.700831319,0.311495141,n.s.,A0A3Q1MIA4;P56701,A0A3Q1MIA4;P56701,PSMD2,5
0.144651352,0.005837947,1.469262229,n.s.,A0A3Q1MIW9;Q0IIG0;A0A3S5ZPM7,A0A3Q1MIW9;Q0IIG0;A0A3S5ZPM7,NOLC1,10
0.989702733,0.699285049,0.211647505,n.s.,A0A3Q1MKJ7;Q28034;A0A3Q1MTB8,A0A3Q1MKJ7;Q28034;A0A3Q1MTB8,PRKCSH,32
1,0.883421723,-0.066506381,n.s.,A0A3Q1MKQ7;P26452;F8UZU9;A0A3Q1MFG3;Q862H8;Q862N6,A0A3Q1MKQ7;P26452;F8UZU9;A0A3Q1MFG3;Q862H8,RPSA,8
0.992497002,0.709880142,0.167380885,n.s.,A0A3Q1MKR2;G3X6L9;A0A3Q1MSP0,A0A3Q1MKR2;G3X6L9;A0A3Q1MSP0,EPRS1,21
0.93294501,0.512680162,0.008824251,n.s.,A0A3Q1MLP3;Q148J8;P41563,A0A3Q1MLP3;Q148J8;P41563,IDH3A,15
1,1,-0.122201941,n.s.,A0A3Q1MLR0;Q5EA64;F1N103;Q08DB7,A0A3Q1MLR0;Q5EA64;F1N103;Q08DB7,COCH,6
0.68887918,0.234002681,0.358905,n.s.,A0A3Q1MM55;F1MMK2;Q5EM56,A0A3Q1MM55;F1MMK2,G6PD,19
0.389622672,0.049023572,0.291261864,n.s.,A0A3Q1MM65;Q58DW0;G3MXR5,A0A3Q1MM65;Q58DW0,RPL4,19
0.853400195,0.399476005,0.65439039,n.s.,A0A3Q1MMA8;Q0VC16;G5E5L5;A0A3Q1M2R2;A0A3Q1MNU0,A0A3Q1MMA8;Q0VC16;G5E5L5;A0A3Q1M2R2;A0A3Q1MNU0,MIA3,6
0.070045468,0.001466614,0.473557264,n.s.,A0A3Q1MME4;A0A3Q1MJF8;A0A3Q1MP10;A0A3Q1M3F3,A0A3Q1MME4;A0A3Q1MJF8,HNRNPA2B1,37
0.664091223,0.214415103,-0.319884935,n.s.,A0A3Q1MN33;A0A3Q1LUC8;A0A3Q1LU91;Q32S38;A0A4Y5RY75,A0A3Q1MN33;A0A3Q1LUC8;A0A3Q1LU91;Q32S38,GCLC,30
0.357880287,0.03639548,1.010654814,n.s.,A0A3Q1MN97;F1N789;A0A3Q1LIB4;A0A3Q1MRN4;Q2PQT6;Q0VCE6,A0A3Q1MN97;F1N789;A0A3Q1LIB4;A0A3Q1MRN4,VCL,16
1,0.993812816,-0.07430512,n.s.,A0A3Q1MNM7;A0A3Q1MB68;A0A3Q1LUT2;F1MX04;A0A3Q1MH27;E1BLC8;A0A3Q1NNI9;A0A3Q1M1I5;G3N2H3;F1MIK1;A0A3Q1LYM8;A0A3Q1MDS7;A0A3Q1M8U3,A0A3Q1MNM7;A0A3Q1MB68;A0A3Q1LUT2;F1MX04;A0A3Q1MH27,EIF4G1,10
0.43965743,0.080925606,0.653697919,n.s.,A0A3Q1MNN2;F1MZC0;A6QPH7;A0A3Q1MMT0;A0A3Q1NB93;F1N6I4;A6QPX6,A0A3Q1MNN2;F1MZC0;A6QPH7;A0A3Q1MMT0;A0A3Q1NB93;F1N6I4;A6QPX6,AKR7A2,10
1,0.990710093,0.10906506,n.s.,A0A3Q1MQD7;G3MWH1;Q3SYU8,A0A3Q1MQD7;G3MWH1;Q3SYU8,TPD52L2,9
1,1,-0.216121812,n.s.,A0A3Q1MQM3;A7E3S8;A0A3Q1M4L0,A0A3Q1MQM3;A7E3S8;A0A3Q1M4L0,ST13,9
0.427549656,0.068301663,-0.265986962,n.s.,A0A3Q1MR04;A0A3Q1LSE5;F1MZU2;A8RCD4;G3N178,A0A3Q1MR04;A0A3Q1LSE5;F1MZU2,NSF,32
0.249295341,0.020779792,1.538937778,n.s.,A0A3Q1MRD9;F1MYS7;A0A3Q1N3Q6;A0A3Q1N2J5;Q3MHP6,A0A3Q1MRD9;F1MYS7;A0A3Q1N3Q6;A0A3Q1N2J5;Q3MHP6,EIF4B,4
1,0.904070959,-0.285998344,n.s.,A0A3Q1MRF3;A6H7B5,A0A3Q1MRF3;A6H7B5,COPS3,3
1,1,0.074045716,n.s.,A0A3Q1MRG1;E1BIN5,A0A3Q1MRG1;E1BIN5,CUL3,3
1,0.934170658,0.147775589,n.s.,A0A3Q1MTY6;F1N1S2;Q148E3;Q28137,A0A3Q1MTY6;F1N1S2,MAP1B,15
0.316217818,0.030487368,-0.534329272,n.s.,A0A3Q1MUI7;A0A3Q1LR42;F1MV80;A0JN34,A0A3Q1MUI7;A0A3Q1LR42;F1MV80,NADK2,21
0.800200675,0.352554782,0.65969748,n.s.,A0A3Q1MVG1;A0A3Q1LLV8;A0A3Q1M8S2;F1N1R8;A0A3Q1MVV4,A0A3Q1MVG1;A0A3Q1LLV8;A0A3Q1M8S2;F1N1R8;A0A3Q1MVV4,EML4,4
0.714388887,0.256283009,0.448051914,n.s.,A0A3Q1N0B0;Q32LA7;P0C0S4,A0A3Q1N0B0;Q32LA7;P0C0S4,H2AZ2,12
0.466435135,0.104058959,0.744413843,n.s.,A0A3Q1N0N4;A0A3Q1M1V8;A0A3Q1LQX6,A0A3Q1N0N4;A0A3Q1M1V8;A0A3Q1LQX6,TPM1,20
0.97488318,0.64295357,0.305160121,n.s.,A0A3Q1N0N9;E1BMP2,A0A3Q1N0N9;E1BMP2,SEC31A,7
1,1,-0.102152218,n.s.,A0A3Q1N0W4,A0A3Q1N0W4,-,2
1,0.932270401,-0.024535059,n.s.,A0A3Q1N238;Q58DR8;F1MZ38,A0A3Q1N238;Q58DR8;F1MZ38,SUCLG1,16
1,1,-0.002176902,n.s.,A0A3Q1N245,A0A3Q1N245,CDA,2
0.249295341,0.020359796,1.646185124,n.s.,A0A3Q1N375;A7YWE4;A0A3Q1MVR8;A0A5C0NRA3,A0A3Q1N375;A7YWE4;A0A3Q1MVR8,ALDH4A1,5
1,0.82199178,0.412104823,n.s.,A0A3Q1N389;Q0IIJ0,A0A3Q1N389;Q0IIJ0,NAA50,2
0.753588298,0.288217118,0.847851999,n.s.,A0A3Q1N4G7;A4FUY3,A0A3Q1N4G7;A4FUY3,P3H1,5
0.246384263,0.018679813,-1.670855633,n.s.,A0A3Q1N552;A0A3Q1LUM5;A6H767;A0A3Q1LQC2;G3X7M5;A0A3Q1NDU3,A0A3Q1N552;A0A3Q1LUM5;A6H767;A0A3Q1LQC2;G3X7M5,LOC112441545,7
0.389622672,0.049459505,1.41557379,n.s.,A0A3Q1N568;Q5E9G3;F1MU19,A0A3Q1N568;Q5E9G3;F1MU19,PSME2,3
0.931364225,0.507554924,0.359610467,n.s.,A0A3Q1N744;A0A3Q1LK47;Q2KJI7,A0A3Q1N744;A0A3Q1LK47;Q2KJI7,AFG3L2,14
0.243159069,0.01799159,0.370717735,n.s.,A0A3Q1N8Q5;P61603;A0A3Q1MBC6,A0A3Q1N8Q5;P61603,HSPE1,26
0.967823646,0.62545949,-0.009173097,n.s.,A0A3Q1NC75,A0A3Q1NC75,CALU,17
1,1,-0.104365573,n.s.,A0A3Q1NCG2;A0A3Q1MFI3;F1N290;A0A3Q1NNE9;A0A3Q1MCY4,A0A3Q1NCG2;A0A3Q1MFI3;F1N290;A0A3Q1NNE9;A0A3Q1MCY4,COBLL1,6
1,0.791372086,-0.3459009,n.s.,A0A3Q1NCR8;A7YY65,A0A3Q1NCR8;A7YY65,MTCH1,2
0.938120628,0.520593846,-0.028524341,n.s.,A0A3Q1NDV9,A0A3Q1NDV9,LOC538435,5
0.43965743,0.080799192,1.026535541,n.s.,A0A3Q1NEH4;A0A3Q1M1S6;Q2KJ39,A0A3Q1NEH4;A0A3Q1M1S6;Q2KJ39,RCN3,7
0.43965743,0.078919211,1.222802482,n.s.,A0A3Q1NGX5;Q2T9Y9;F2Z4E7,A0A3Q1NGX5;Q2T9Y9;F2Z4E7,ILF2,2
0.286536009,0.026619734,1.37265565,n.s.,A0A3Q1NHX1;A0A3Q1M5U2;F1MQG6;A4FUB9;A7Z082;A0A3Q1M6T5;F6QIB4,A0A3Q1NHX1;A0A3Q1M5U2;F1MQG6;A4FUB9,ACIN1,6
0.59781301,0.168058319,1.119220713,n.s.,A0A3Q1NJ70;E1BCW3,A0A3Q1NJ70;E1BCW3,PFKP,4
1,0.81972873,-0.003932225,n.s.,A0A3Q1NK91;Q0IIL6;Q68V19,A0A3Q1NK91;Q0IIL6;Q68V19,HSD17B4,9
0.625488619,0.187450266,0.569958477,n.s.,A0A3Q1NNJ3;P52556,A0A3Q1NNJ3;P52556,BLVRB,3
0.93294501,0.511134889,0.582657959,n.s.,A0A3Q1NNQ9;E1BGF3,A0A3Q1NNQ9;E1BGF3,HCFC1,5
0.956709393,0.59777301,-0.340091947,n.s.,A0A3S5ZP98;Q2KJC9;E1BFG0,A0A3S5ZP98;Q2KJC9;E1BFG0,ALDH7A1,16
0.43984028,0.084319157,1.191739873,n.s.,A0A3S5ZPE0;C1JZ67,A0A3S5ZPE0;C1JZ67,KPNA4,2
0.856583615,0.404284419,-0.162724981,n.s.,A0A3S5ZPM3;Q3ZCI4;Q862J6,A0A3S5ZPM3;Q3ZCI4,PGD,21
1,0.840128201,-0.001005539,n.s.,A0A3S5ZPU0;A4IFC8,A0A3S5ZPU0;A4IFC8,LIG1,28
0.081463826,0.002101508,1.255308932,n.s.,A0A452DHZ5;Q0P569,A0A452DHZ5;Q0P569,NUCB1,14
0.753588298,0.292103815,-0.388373094,n.s.,A0A452DI24;P50397;A0A3Q1MPF1;A0A3Q1MNB1,A0A452DI24;P50397;A0A3Q1MPF1,GDI2,19
0.907710658,0.458085819,-0.346847557,n.s.,A0A452DI45;A0A3Q1LR88;A0A3Q1N8A3;A0A3Q1LPZ4;P79136;A0A3Q1LZP7;A0A3Q1MG13,A0A452DI45;A0A3Q1LR88;A0A3Q1N8A3;A0A3Q1LPZ4;P79136;A0A3Q1LZP7;A0A3Q1MG13,CAPZB,8
